region,country,state_province,city,address,full_address,location,latitude,longitude
Africa,Morocco,,Casablanca - Casanearshore,"Casablanca Nearshore ParkBuilding Shore 5, 2ème étage, Casablanca","Casablanca Nearshore ParkBuilding Shore 5, 2ème étage, Casablanca, Casablanca - Casanearshore, Morocco",,,
Africa,Morocco,,Fès Shore Park,"Route de Sidi Harazem, Fès","Route de Sidi Harazem, Fès, Fès Shore Park, Morocco",,,
Africa,Morocco,,Bâtiment Shore 3,"TechnopolisSala El Jadida, Rabat","TechnopolisSala El Jadida, Rabat, Bâtiment Shore 3, Morocco",,,
Asia Pacific,Australia,Australian Capital Territory,Canberra,"Tenancy 604, Level 65 Farrell Place, Canberra, 2601","Tenancy 604, Level 65 Farrell Place, Canberra, 2601, Canberra, Australia",,,
Asia Pacific,Australia,New South Wales,Suite G.03,"166 Epping Road,, Lane Cove West, 2066","166 Epping Road,, Lane Cove West, 2066, Suite G.03, Australia",,,
Asia Pacific,Australia,New South Wales,North Sydney,"Suite 15.02, Level 15,100 Pacific Highway,, North Sydney, 2060","Suite 15.02, Level 15,100 Pacific Highway,, North Sydney, 2060, North Sydney, Australia",,,
Asia Pacific,Australia,Queensland,Level 6 (Reception),"Riverside Centre123 Eagle Street, Brisbane, 4000","Riverside Centre123 Eagle Street, Brisbane, 4000, Level 6 (Reception), Australia",,,
Asia Pacific,Australia,South Australia,Adelaide,"Lot Fourteencorner of North Terrace and, Frome Rd, Adelaide, 5000","Lot Fourteencorner of North Terrace and, Frome Rd, Adelaide, 5000, Adelaide, Australia",,,
Asia Pacific,Australia,Tasmania,"Level 6, Reserve Bank Building,","111 Macquarie Street, Hobart, 7000","111 Macquarie Street, Hobart, 7000, Level 6, Reserve Bank Building,, Australia",,,
Asia Pacific,Australia,Victoria,Suite 18.01,"Level 18, 40 City Road, Southbank, 3006","Level 18, 40 City Road, Southbank, 3006, Suite 18.01, Australia",,,
Asia Pacific,India,Karnataka,Divyasree Technopolis,"124,125, Yemlur P.O.Off old Airport Road, Bangalore, 560037","124,125, Yemlur P.O.Off old Airport Road, Bangalore, 560037, Divyasree Technopolis, India",,,
Asia Pacific,India,Karnataka,E-City,"Tower 2, #95/1 & 95/2Electronic City Phase 1 (West), Bangalore, 560100","Tower 2, #95/1 & 95/2Electronic City Phase 1 (West), Bangalore, 560100, E-City, India",,,
Asia Pacific,India,Karnataka,Cyber Park,"Plot No. 76 & 77, Electronic City, Phase 1(west), Bangalore, 560100","Plot No. 76 & 77, Electronic City, Phase 1(west), Bangalore, 560100, Cyber Park, India",,,
Asia Pacific,India,Maharashtra,Andheri Kurla Road,"Plot No. 22, SEEPZAndheri (East), Mumbai, 400096","Plot No. 22, SEEPZAndheri (East), Mumbai, 400096, Andheri Kurla Road, India",,,
Asia Pacific,India,Maharashtra,CGI ISMC Pvt Ltd,"8th floor, Smartworks Co-working Spaces Private Limited Survey number AP81, 83, North Main road,  Koregoan Park Annexe,  Mundhwa, Pune, 411001","8th floor, Smartworks Co-working Spaces Private Limited Survey number AP81, 83, North Main road,  Koregoan Park Annexe,  Mundhwa, Pune, 411001, CGI ISMC Pvt Ltd, India",,,
Asia Pacific,India,Tamil Nadu,DLF IT Park,"3rd floor, 5th Block, 1/124, Shivaji Gardens,, Chennai, 600089","3rd floor, 5th Block, 1/124, Shivaji Gardens,, Chennai, 600089, DLF IT Park, India",,,
Asia Pacific,India,Telangana,CGI ISMC Pvt Ltd,"15th floor, North wing & South wing part, Skyview 20,  Sy.no. 83/1, Raidurgam,, Hyderabad, 500018","15th floor, North wing & South wing part, Skyview 20,  Sy.no. 83/1, Raidurgam,, Hyderabad, 500018, CGI ISMC Pvt Ltd, India",,,
Asia Pacific,India,Telangana,DLF - Cyber City,"2nd floor, Part of Ground & 6th floor, Block 3Part of 3rd floor, Block 2, Plot no 129/132, APHB Colony, Gachibowli Village, Serilingampally Mandal, Ranga reddy Dist, Hyderabad, 500032","2nd floor, Part of Ground & 6th floor, Block 3Part of 3rd floor, Block 2, Plot no 129/132, APHB Colony, Gachibowli Village, Serilingampally Mandal, Ranga reddy Dist, Hyderabad, 500032, DLF - Cyber City, India",,,
Asia Pacific,Malaysia,,Kuala Lumpur - Avenue 7,"Avenue 7 Bangsar South City No. 8 Jalan KerinchiLevel 5, Menara PNS Tower 7, Kuala Lumpur, 59200","Avenue 7 Bangsar South City No. 8 Jalan KerinchiLevel 5, Menara PNS Tower 7, Kuala Lumpur, 59200, Kuala Lumpur - Avenue 7, Malaysia",,,
Asia Pacific,Philippines,Metro Manila,Ortigas: Robinsons Cyberscape Alpha,"Sapphire and Garnet Roads,Ortigas Center, Pasig City, 1605","Sapphire and Garnet Roads,Ortigas Center, Pasig City, 1605, Ortigas: Robinsons Cyberscape Alpha, Philippines",,,
Asia Pacific,Philippines,Metro Manila,Taguig City: One World Square,"10 Upper McKinley Road, McKinley Hill2/F One World Square, Taguig City, 1634","10 Upper McKinley Road, McKinley Hill2/F One World Square, Taguig City, 1634, Taguig City: One World Square, Philippines",,,
Europe,Belgium,,Brussels,"Airport Plaza Building C KyotoLeonardo Da Vincilaan 19C bus 6, Diegem, 1831","Airport Plaza Building C KyotoLeonardo Da Vincilaan 19C bus 6, Diegem, 1831, Brussels, Belgium",,,
Europe,Czechia,,Brno,"Londýnské nám. 853/1, Brno, 639 00","Londýnské nám. 853/1, Brno, 639 00, Brno, Czechia","853/1, Londýnské náměstí, Brno Business Park, Štýřice, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 639 00, Česko",49.1717766,16.5980518
Europe,Czechia,,OSTRAVA,"28. října 3348/65Moravská Ostrava, OSTRAVA, 702 00","28. října 3348/65Moravská Ostrava, OSTRAVA, 702 00, OSTRAVA, Czechia",,,
